district,year(ftp.month),"round(sum(investment_in_cr),1)",sum(fuel_type_diesel+fuel_type_petrol+fuel_type_electric+fuel_type_others),sum(documents_registered_rev+estamps_challans_rev)
Adilabad,2021,13894.7,104381172,2550925099968
Adilabad,2022,10587.4,82013778,2004298292832
"Bhadradri Kothagudem",2021,75565.8,248360220,2489568153408
"Bhadradri Kothagudem",2022,2250460.4,255259115,2558722824336
Hyderabad,2021,26462.9,483691617,28965229244208
Hyderabad,2022,52068.5,268717565,16091794024560
Jagtial,2021,139539.9,404428232,9363434400960
Jagtial,2022,65895.1,267636330,6196390412400
Jangoan,2021,86834.1,132680154,3963159380352
Jangoan,2022,140940.2,122205405,3650278376640
"Jogulamba Gadwal",2021,40601.2,73169600,1620599073600
"Jogulamba Gadwal",2022,212649.4,43901760,972359444160
Kamareddy,2021,1041700.8,241858240,4567136083200
Kamareddy,2022,1400944,193486592,3653708866560
Karimnagar,2021,318442.1,522530960,23565499134240
Karimnagar,2022,277562.9,552389872,24912099084768
Khammam,2021,455714.9,774946575,35331742634400
Khammam,2022,372009.2,764613954,34860652732608
"Kumurambheem Asifabad",2021,22317.3,38359990,304494508560
"Kumurambheem Asifabad",2022,23116.8,31590580,250760183520
Mahabubabad,2021,90702.3,265948560,5117051624928
Mahabubabad,2022,166179.7,183412800,3529001120640
Mahabubnagar,2021,824876.2,287558784,9372070624896
Mahabubnagar,2022,3756800.2,471276896,15359782413024
Mancherial,2021,45353.9,194622300,6016467324336
Mancherial,2022,389234.4,108626400,3358028274048
Medak,2021,1233299.5,250465068,7818278210496
Medak,2022,3260036.2,310762214,9700456298208
Medchal_Malkajgiri,2021,5010630.7,5279445640,521763092216352
Medchal_Malkajgiri,2022,5411899.6,5398530880,533532184521984
Nagarkurnool,2021,303398.6,149661630,3368432315520
Nagarkurnool,2022,402530,159639072,3592994469888
Nalgonda,2021,2861185.8,600390784,20243145057408
Nalgonda,2022,300555.8,461014352,15543843526224
Nirmal,2021,82711.1,151018990,2767894402464
Nirmal,2022,43217.5,106601640,1953807813504
Nizamabad,2021,190960.9,632536011,19409272460352
Nizamabad,2022,97120.8,521564781,16004136940992
Peddapalli,2021,88396.4,174291040,5782489520640
Peddapalli,2022,115807.7,143790108,4770553854528
"Rajanna Sircilla",2021,77175.1,166912228,4691301864816
"Rajanna Sircilla",2022,112755.8,115816648,3255189049056
Rangareddy,2021,4828607.3,2038592600,167468706883200
Rangareddy,2022,9878253.8,2262837786,185890264640352
Sangareddy,2021,9489672.5,1462261697,210086286167424
Sangareddy,2022,4056427.6,1591665387,228677992907904
Siddipet,2021,646138.5,302115060,9876848363280
Siddipet,2022,2335651.2,349110736,11413246997568
Suryapet,2021,345764.3,262083186,8152254590016
Suryapet,2022,2845772.8,215833212,6713621427072
Vikarabad,2021,140110.9,359517664,5019396695808
Vikarabad,2022,209187.1,408542800,5703859881600
Wanaparthy,2021,30856.4,41139852,1127239625088
Wanaparthy,2022,864484.3,54853136,1502986166784
Warangal,2021,156824.3,691019709,3932546054544
Warangal,2022,129723.2,360980445,2054315103120
"Yadadri Bhuvanagiri",2021,2855153.9,418054425,36821278843200
"Yadadri Bhuvanagiri",2022,1239408,551831841,48604088073024
