sector,district,inv
"Real Estate,Industrial Parks and IT Buildings",Rangareddy,5134.5
"Plastic and Rubber",Rangareddy,4254.7
"Pharmaceuticals and Chemicals",Sangareddy,2807.8
"Pharmaceuticals and Chemicals",Medchal_Malkajgiri,1936.9
R&D,Medchal_Malkajgiri,1468
Beverages,Narayanpet,1455
"Pharmaceuticals and Chemicals","Yadadri Bhuvanagiri",1266.1
"Plastic and Rubber",Sangareddy,1254.6
"Pharmaceuticals and Chemicals",Rangareddy,1220.5
"Solar and Other Renewable Energy",Mahabubnagar,1032.2
Engineering,Rangareddy,997.1
"Paper and Printing","Bhadradri Kothagudem",984.2
"Cement, Cement & Concrete Products, Fly Ash Bricks",Suryapet,953.4
"Pharmaceuticals and Chemicals",Nalgonda,824.7
"Pharmaceuticals and Chemicals",Medak,711.8
Engineering,Medak,682.1
"Granite and Stone Crushing",Rangareddy,602.6
"Pharmaceuticals and Chemicals",Kamareddy,585.9
"Agro based incl Cold Storages",Siddipet,572.1
"Pharmaceuticals and Chemicals",Siddipet,455.7
Engineering,Medchal_Malkajgiri,450
R&D,Rangareddy,422.1
"Pharmaceuticals and Chemicals",Suryapet,384.6
Engineering,Sangareddy,373.1
"Agro based incl Cold Storages",Medchal_Malkajgiri,358.3
Others,Nalgonda,349
Beverages,Wanaparthy,330
Beverages,Sangareddy,326.4
"Solar and Other Renewable Energy",Kamareddy,326.1
Automobile,Rangareddy,275.5
"Food Processing",Sangareddy,273.7
"Solar and Other Renewable Energy",Medak,228.2
"Plastic and Rubber",Medchal_Malkajgiri,227.4
"Solar and Other Renewable Energy",Rangareddy,226.8
"Granite and Stone Crushing",Medchal_Malkajgiri,224.6
R&D,Sangareddy,217.4
"Food Processing",Medchal_Malkajgiri,213.5
"Pharmaceuticals and Chemicals",Mahabubnagar,213.4
Engineering,"Yadadri Bhuvanagiri",205.7
Others,Rangareddy,204.5
Others,Medchal_Malkajgiri,189.4
"Granite and Stone Crushing",Mahabubnagar,189
Others,Sangareddy,184.4
"Solar and Other Renewable Energy",Sangareddy,178
"Electrical and Electronic Products",Rangareddy,171.8
"Food Processing",Siddipet,161.2
Others,Mahabubnagar,159.6
"Solar and Other Renewable Energy",Mancherial,158.7
"Food Processing",Nalgonda,147
"Food Processing",Kamareddy,146.3
R&D,Mahabubnagar,146
"Granite and Stone Crushing",Karimnagar,144.7
"Food Processing",Nagarkurnool,128.6
"Paper and Printing",Rangareddy,127.1
"Food Processing",Medak,124.9
"Paper and Printing",Medchal_Malkajgiri,109.5
"Electrical and Electronic Products",Medchal_Malkajgiri,109
"Solar and Other Renewable Energy",Nagarkurnool,108.2
"Food Processing",Rangareddy,107.9
"Agro based incl Cold Storages",Khammam,99.6
"Solar and Other Renewable Energy",Hanumakonda,98.4
"Food Processing",Khammam,89.4
"Paper and Printing",Sangareddy,84.5
Textiles,Medchal_Malkajgiri,79.5
"Electrical and Electronic Products",Sangareddy,79.5
Beverages,Khammam,76.7
"Solar and Other Renewable Energy","Jogulamba Gadwal",74.8
"Food Processing",Jangoan,69.8
Textiles,Mahabubnagar,67.2
Others,Medak,66.5
"Food Processing","Yadadri Bhuvanagiri",66.2
"Food Processing",Mahabubabad,65
"Agro based incl Cold Storages",Sangareddy,64.6
"Food Processing",Wanaparthy,62.7
"Electrical and Electronic Products",Medak,61.5
"Granite and Stone Crushing",Sangareddy,58.5
"Food Processing",Nizamabad,58.3
Textiles,Rangareddy,56.8
"Plastic and Rubber",Medak,55.7
"Plastic and Rubber","Yadadri Bhuvanagiri",55.5
Others,Karimnagar,55.5
"Paper and Printing","Yadadri Bhuvanagiri",54.9
"Cement, Cement & Concrete Products, Fly Ash Bricks",Rangareddy,52.1
"Food Processing",Suryapet,51.8
Engineering,Vikarabad,50.7
"Food Processing",Jagtial,50.3
"Paper and Printing",Siddipet,48.1
"Granite and Stone Crushing",Khammam,46.5
"Food Processing",Mahabubnagar,44.7
Textiles,Nagarkurnool,44.5
"Food Processing","Rajanna Sircilla",44.1
"Food Processing",Warangal,44.1
Engineering,Mahabubnagar,42.9
"Cement, Cement & Concrete Products, Fly Ash Bricks",Medchal_Malkajgiri,42.8
"Agro based incl Cold Storages",Rangareddy,42.6
R&D,"Yadadri Bhuvanagiri",37.1
Engineering,Nalgonda,36.8
"Agro based incl Cold Storages",Nizamabad,35.3
"Paper and Printing",Peddapalli,35
"Food Processing",Narayanpet,34.9
"Pharmaceuticals and Chemicals",Vikarabad,34.6
Automobile,Sangareddy,34.5
"Food Processing",Peddapalli,33.6
"Granite and Stone Crushing","Yadadri Bhuvanagiri",32.7
"Agro based incl Cold Storages",Mahabubnagar,32.6
Others,Siddipet,32.5
"Plastic and Rubber",Mahabubnagar,30.5
Textiles,Warangal,29.6
"Food Processing",Vikarabad,29
Others,Hanumakonda,29
"Food Processing",Karimnagar,28.4
"Food Processing",Nirmal,26
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related","Yadadri Bhuvanagiri",24.8
"Cement, Cement & Concrete Products, Fly Ash Bricks",Sangareddy,24.2
"Cement, Cement & Concrete Products, Fly Ash Bricks",Mahabubnagar,24.1
Engineering,Hyderabad,23.3
"Agro based incl Cold Storages",Jagtial,22.4
"Wood and Leather",Sangareddy,21
"Wood and Leather",Rangareddy,21
"Food Processing","Jogulamba Gadwal",19.8
"Agro based incl Cold Storages",Kamareddy,19.7
Textiles,Narayanpet,19.4
"Electrical and Electronic Products",Mahabubnagar,19
"Food Processing",Mulugu,18.9
"Agro based incl Cold Storages",Nirmal,18.4
"Plastic and Rubber",Siddipet,18.2
"Cement, Cement & Concrete Products, Fly Ash Bricks","Bhadradri Kothagudem",17.7
"Granite and Stone Crushing",Vikarabad,17.4
"Granite and Stone Crushing",Mahabubabad,17.2
"Agro based incl Cold Storages",Mahabubabad,17
"Electrical and Electronic Products","Yadadri Bhuvanagiri",16.8
"Agro based incl Cold Storages",Warangal,16.1
"Food Processing",Hanumakonda,16
"Wood and Leather",Mahabubnagar,15.9
"Agro based incl Cold Storages",Nalgonda,15.5
"Agro based incl Cold Storages","Rajanna Sircilla",14.9
"Granite and Stone Crushing",Medak,14.7
"Pharmaceuticals and Chemicals",Khammam,14.6
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Sangareddy,13.9
"Agro based incl Cold Storages",Medak,13.8
Engineering,Warangal,13.5
Others,"Yadadri Bhuvanagiri",13.1
Engineering,Siddipet,13
Textiles,"Yadadri Bhuvanagiri",12.9
R&D,Siddipet,12.7
"Granite and Stone Crushing",Hanumakonda,12.7
"Agro based incl Cold Storages",Nagarkurnool,12.6
Others,Khammam,11.6
"Food Processing",Hyderabad,11.2
"Food Processing","Jayashankar Bhupalpally",10.9
"Wood and Leather",Medchal_Malkajgiri,10.8
"Paper and Printing",Medak,10.5
"Cement, Cement & Concrete Products, Fly Ash Bricks",Karimnagar,10.2
Textiles,"Jogulamba Gadwal",10.1
"Cement, Cement & Concrete Products, Fly Ash Bricks",Warangal,10.1
"Food Processing",Mancherial,10
"Agro based incl Cold Storages",Jangoan,10
Beverages,Mahabubnagar,10
"Real Estate,Industrial Parks and IT Buildings","Yadadri Bhuvanagiri",10
"Agro based incl Cold Storages",Karimnagar,9.8
Engineering,Karimnagar,9.5
Engineering,Nizamabad,9.5
"Food Processing","Kumurambheem Asifabad",9.3
"Plastic and Rubber",Nizamabad,9.3
"Food Processing","Bhadradri Kothagudem",9.1
Beverages,Medak,9
Engineering,Khammam,8.7
"Cement, Cement & Concrete Products, Fly Ash Bricks",Mancherial,8.5
"Cement, Cement & Concrete Products, Fly Ash Bricks",Khammam,8.5
Beverages,Rangareddy,8.4
Engineering,Suryapet,8.2
Textiles,"Rajanna Sircilla",8.1
Engineering,Nagarkurnool,8.1
Others,Jangoan,8.1
Textiles,Hanumakonda,7.9
Others,Vikarabad,7.8
Textiles,Sangareddy,7.7
"Solar and Other Renewable Energy",Nalgonda,7.7
"Cement, Cement & Concrete Products, Fly Ash Bricks","Yadadri Bhuvanagiri",7.4
Others,Nizamabad,6.7
"Cement, Cement & Concrete Products, Fly Ash Bricks",Peddapalli,6.5
"Cement, Cement & Concrete Products, Fly Ash Bricks",Medak,6.5
Engineering,Hanumakonda,6.5
Engineering,Nirmal,6.3
Beverages,Vikarabad,5.8
"Wood and Leather",Khammam,5.7
"Plastic and Rubber","Bhadradri Kothagudem",5.7
"Pharmaceuticals and Chemicals",Peddapalli,5.7
Beverages,Suryapet,5.7
Engineering,Jagtial,5.6
"Plastic and Rubber",Nalgonda,5.5
"Granite and Stone Crushing",Mancherial,5.4
Others,"Jayashankar Bhupalpally",5.2
"Cement, Cement & Concrete Products, Fly Ash Bricks",Nalgonda,5.1
"Granite and Stone Crushing","Rajanna Sircilla",5.1
"Agro based incl Cold Storages","Bhadradri Kothagudem",5
"Granite and Stone Crushing",Suryapet,5
"Cement, Cement & Concrete Products, Fly Ash Bricks","Rajanna Sircilla",4.8
Engineering,"Jogulamba Gadwal",4.7
"Granite and Stone Crushing",Jangoan,4.6
Others,Mahabubabad,4.5
"Cement, Cement & Concrete Products, Fly Ash Bricks",Nagarkurnool,4.4
