sector,month(month),inv
"Agro based incl Cold Storages",1,80.9
"Agro based incl Cold Storages",2,50.7
"Agro based incl Cold Storages",3,291.2
"Agro based incl Cold Storages",4,113.2
"Agro based incl Cold Storages",5,148.2
"Agro based incl Cold Storages",6,605.8
"Agro based incl Cold Storages",7,137.6
"Agro based incl Cold Storages",8,98.5
"Agro based incl Cold Storages",9,208
"Agro based incl Cold Storages",10,88.2
"Agro based incl Cold Storages",11,65.1
"Agro based incl Cold Storages",12,213.2
Automobile,1,1254.3
Automobile,2,0.1
Automobile,3,7.3
Automobile,4,2.2
Automobile,5,51
Automobile,6,0.5
Automobile,7,37.1
Automobile,10,221.4
Automobile,11,0.4
Automobile,12,1
Beverages,1,861.6
Beverages,2,687.1
Beverages,3,14.6
Beverages,4,18.6
Beverages,5,344.9
Beverages,6,17.8
Beverages,7,15.2
Beverages,8,2.9
Beverages,9,9.7
Beverages,10,109.2
Beverages,11,432.6
Beverages,12,295.6
"Cement, Cement & Concrete Products, Fly Ash Bricks",1,39.6
"Cement, Cement & Concrete Products, Fly Ash Bricks",2,102.1
"Cement, Cement & Concrete Products, Fly Ash Bricks",3,125
"Cement, Cement & Concrete Products, Fly Ash Bricks",4,65.7
"Cement, Cement & Concrete Products, Fly Ash Bricks",5,59.7
"Cement, Cement & Concrete Products, Fly Ash Bricks",6,436.3
"Cement, Cement & Concrete Products, Fly Ash Bricks",7,279.1
"Cement, Cement & Concrete Products, Fly Ash Bricks",8,977.1
"Cement, Cement & Concrete Products, Fly Ash Bricks",9,35.8
"Cement, Cement & Concrete Products, Fly Ash Bricks",10,32.7
"Cement, Cement & Concrete Products, Fly Ash Bricks",11,49.5
"Cement, Cement & Concrete Products, Fly Ash Bricks",12,36
"Electrical and Electronic Products",1,269.4
"Electrical and Electronic Products",2,51.5
"Electrical and Electronic Products",3,59.1
"Electrical and Electronic Products",4,41
"Electrical and Electronic Products",5,42.7
"Electrical and Electronic Products",6,104.4
"Electrical and Electronic Products",7,175.7
"Electrical and Electronic Products",8,27.7
"Electrical and Electronic Products",9,63.7
"Electrical and Electronic Products",10,36.3
"Electrical and Electronic Products",11,40.7
"Electrical and Electronic Products",12,29.4
Engineering,1,192.8
Engineering,2,1332.5
Engineering,3,451.7
Engineering,4,209.7
Engineering,5,343.1
Engineering,6,220.8
Engineering,7,257.4
Engineering,8,359.1
Engineering,9,242.5
Engineering,10,688.3
Engineering,11,286.1
Engineering,12,440.6
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",1,11.8
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",2,12.4
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",3,17.9
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",4,8
