district,tot_rev,category
Medchal_Malkajgiri,56560334541,1
Hyderabad,47628666253,1
Sangareddy,28410909297,1
Hanumakonda,9836265797,1
Khammam,7273247973,1
"Yadadri Bhuvanagiri",7069318592,1
Nalgonda,5222972771,1
Nizamabad,5218541203,1
Karimnagar,5070954538,1
Rangareddy,4906912252,1
Mahabubnagar,3897790508,1
Suryapet,3575170837,2
Siddipet,3270051056,2
Peddapalli,2200222035,2
Medak,2131038168,2
Mancherial,2116279667,2
Jagtial,2026261310,2
Vikarabad,1707906139,2
Nagarkurnool,1697009409,2
Kamareddy,1666771871,2
Jangoan,1405623403,2
Wanaparthy,1391965620,2
"Rajanna Sircilla",1387948696,3
Adilabad,1379583551,3
Mahabubabad,1343312841,3
"Jogulamba Gadwal",1227560674,3
Nirmal,1207987315,3
"Bhadradri Kothagudem",1059191168,3
Narayanpet,866120127,3
Warangal,830373240,3
Mulugu,701408132,3
"Kumurambheem Asifabad",252588959,3
