dist_code,monthname(month),veh_sale,rnk
14_1,September,10655,1
14_2,December,4524,1
14_3,April,6918,1
14_4,April,4737,1
15_1,May,55300,1
15_2,May,57969,1
15_3,April,12410,1
16_1,May,68180,1
17_1,April,6625,1
17_2,April,18189,1
17_3,April,8740,1
18_1,April,13752,1
18_2,April,8115,1
19_1,September,4912,1
19_2,April,5757,1
19_3,May,6149,1
19_4,September,2934,1
20_1,April,10524,1
20_2,April,7344,1
20_3,April,4246,1
20_4,April,5644,1
21_2,April,13588,1
21_3,April,4809,1
21_5,December,6086,1
21_7,December,5618,1
22_1,December,14176,1
22_2,September,9626,1
23_1,April,13149,1
23_2,April,9673,1
23_3,April,7299,1
14_1,April,11923,2
14_2,April,5235,2
14_3,December,7433,2
14_4,December,4980,2
15_1,April,58943,2
15_2,April,65741,2
15_3,September,12658,2
16_1,April,74320,2
17_1,May,6643,2
17_2,May,18572,2
17_3,May,9801,2
18_1,May,16514,2
18_2,May,9467,2
19_1,December,5467,2
19_2,September,6833,2
19_3,April,6482,2
19_4,August,3207,2
20_1,February,11502,2
20_2,May,8493,2
20_3,May,4683,2
20_4,May,6205,2
21_2,May,15669,2
21_3,May,5302,2
21_5,April,6306,2
21_7,April,5622,2
22_1,April,15205,2
22_2,December,9879,2
23_1,December,15143,2
23_2,December,10705,2
23_3,May,7717,2
14_1,May,12764,3
14_2,May,5477,3
14_3,May,7537,3
14_4,May,4989,3
15_1,February,73547,3
15_2,September,77635,3
15_3,December,12848,3
16_1,December,87164,3
17_1,September,7155,3
17_2,September,21595,3
17_3,September,11089,3
18_1,September,17645,3
18_2,September,9567,3
19_1,April,5536,3
19_2,December,7006,3
19_3,September,7082,3
19_4,May,3209,3
20_1,May,11605,3
20_2,December,9454,3
20_3,July,5456,3
20_4,September,6730,3
21_2,February,15821,3
21_3,December,5542,3
21_5,September,6665,3
21_7,February,5996,3
22_1,May,16013,3
22_2,August,10114,3
23_1,September,16243,3
23_2,August,12056,3
23_3,December,9148,3
14_1,July,15212,9
14_2,June,7163,9
14_3,July,9711,9
14_4,July,6565,9
15_1,November,81179,9
15_2,August,88418,9
15_3,November,15271,9
16_1,November,102456,9
17_1,March,9066,9
17_2,November,23599,9
17_3,July,12135,9
18_1,August,20163,9
18_2,March,11045,9
19_1,November,7415,9
19_2,June,8290,9
19_3,March,8702,9
19_4,February,4790,9
20_1,November,13532,9
20_2,August,10781,9
20_3,February,6115,9
20_4,August,8389,9
21_2,July,19749,9
21_3,January,6545,9
21_5,July,8909,9
21_7,November,7595,9
22_1,March,19425,9
22_2,March,13985,9
23_1,July,19565,9
23_2,July,14461,9
23_3,January,10486,9
14_1,November,15278,10
14_2,November,7418,10
14_3,June,10234,10
14_4,November,6579,10
15_1,August,82717,10
15_2,November,89041,10
15_3,March,15988,10
16_1,August,105226,10
17_1,November,9373,10
17_2,June,24253,10
17_3,November,12455,10
18_1,November,21818,10
18_2,November,11533,10
19_1,February,7475,10
19_2,February,8814,10
19_3,June,8843,10
19_4,January,5207,10
20_1,August,14413,10
20_2,July,11765,10
20_3,August,6573,10
20_4,November,8788,10
21_2,November,19855,10
21_3,November,6848,10
21_5,March,9048,10
21_7,July,7956,10
22_1,January,21188,10
22_2,June,14085,10
23_1,June,21907,10
23_2,January,15304,10
23_3,November,10936,10
14_1,June,16920,11
14_2,July,7525,11
14_3,March,10378,11
14_4,June,7278,11
15_1,March,86816,11
15_2,March,93590,11
15_3,June,16406,11
16_1,March,108781,11
17_1,October,9848,11
17_2,March,25725,11
17_3,October,14685,11
18_1,June,22294,11
18_2,June,12590,11
19_1,March,8038,11
19_2,November,9050,11
19_3,November,9571,11
19_4,March,5271,11
20_1,June,15776,11
20_2,June,13480,11
20_3,June,6823,11
20_4,June,9639,11
21_2,June,22121,11
21_3,June,7471,11
21_5,October,9856,11
21_7,October,8366,11
22_1,June,21540,11
22_2,January,14733,11
23_1,January,23354,11
23_2,June,16590,11
23_3,June,10994,11
14_1,October,19910,12
14_2,October,8785,12
14_3,October,11427,12
14_4,October,9227,12
15_1,October,102260,12
15_2,October,110622,12
15_3,October,18593,12
16_1,October,124646,12
17_1,June,10071,12
17_2,October,29854,12
17_3,June,15197,12
18_1,October,28887,12
18_2,October,14578,12
19_1,October,9836,12
19_2,October,11065,12
19_3,October,10726,12
19_4,October,5454,12
20_1,October,18719,12
20_2,October,14707,12
20_3,October,9340,12
20_4,October,10451,12
21_2,October,25572,12
21_3,October,7621,12
21_5,June,11062,12
21_7,June,9241,12
22_1,October,25173,12
22_2,October,17147,12
23_1,October,28333,12
23_2,October,20221,12
23_3,October,12903,12
