district,MotorCycle_%,MotorCar_%,AutoRickshaw_%,Agriculture_%
Suryapet,77,12,2,9
Nalgonda,77,13,2,7
Mancherial,79,15,3,2
Vikarabad,74,16,4,6
Peddapalli,78,15,2,4
Mahabubnagar,79,14,2,4
Jagtial,82,12,1,4
Nirmal,81,11,2,6
Nagarkurnool,77,12,1,10
Siddipet,74,14,2,10
Karimnagar,74,18,3,4
"Jogulamba Gadwal",85,7,1,7
"Yadadri Bhuvanagiri",73,16,2,8
Nizamabad,79,16,2,3
Adilabad,84,11,2,3
"Bhadradri Kothagudem",75,13,4,8
Mahabubabad,82,9,4,6
Khammam,73,16,6,5
"Kumurambheem Asifabad",89,7,3,1
Medak,74,14,3,9
Sangareddy,69,24,4,2
Medchal_Malkajgiri,72,28,0,0
Hyderabad,77,20,3,0
Wanaparthy,79,11,2,8
Rangareddy,67,32,0,0
"Jayashankar Bhupalpally",74,10,1,14
Warangal,80,13,4,3
Jangoan,78,10,2,10
"Rajanna Sircilla",80,13,1,6
Kamareddy,84,11,1,4
